1.0	0.0
0.98	-0.13157
0.96	-0.19681
0.94	-0.23721
0.92	-0.2714
0.9	-0.29995
0.88	-0.32495
0.86	-0.34697
0.84	-0.36659
0.82	-0.38417
0.8	-0.39999
0.78	-0.41424
0.76	-0.42708
0.74	-0.43862
0.72	-0.44898
0.7	-0.45826
0.68	-0.46647
0.66	-0.47371
0.64	-0.47999
0.62	-0.48537
0.6	-0.48989
0.58	-0.49355
0.56	-0.49638
0.54	-0.49839
0.52	-0.4996
0.5	-0.5
0.48	-0.4996
0.46	-0.49839
0.44	-0.49638
0.42	-0.49355
0.4	-0.48989
0.38	-0.48537
0.36	-0.47999
0.34	-0.47371
0.32	-0.46647
0.3	-0.45826
0.28	-0.44898
0.26	-0.43862
0.24	-0.42708
0.22	-0.41424
0.2	-0.39999
0.18	-0.38417
0.16	-0.3666
0.14	-0.34696
0.12	-0.32494
0.1	-0.30002
0.08	-0.27122
0.06	-0.23764
0.04	-0.19537
0.02	-0.14152
0.015	-0.11955
0.01	-0.09551
0.0075	-0.08655
0.005	-0.07002
0.0025	-0.05349
0.0	0.0
0.0025	0.05349
0.005	0.0779
0.0075	0.08655
0.01	0.09551
0.015	0.11955
0.02	0.14152
0.04	0.19537
0.06	0.23764
0.08	0.27122
0.1	0.30002
0.12	0.32494
0.14	0.34696
0.16	0.3666
0.18	0.38417
0.2	0.39999
0.22	0.41424
0.24	0.42708
0.26	0.43862
0.28	0.44898
0.3	0.45826
0.32	0.46647
0.34	0.47371
0.36	0.47999
0.38	0.48537
0.4	0.48989
0.42	0.49355
0.44	0.49638
0.46	0.49839
0.48	0.4996
0.5	0.5
0.52	0.4996
0.54	0.49839
0.56	0.49638
0.58	0.49355
0.6	0.48989
0.62	0.48537
0.64	0.47999
0.66	0.47371
0.68	0.46647
0.7	0.45826
0.72	0.44898
0.74	0.43862
0.76	0.42708
0.78	0.41424
0.8	0.39999
0.82	0.38417
0.84	0.36659
0.86	0.34697
0.88	0.32495
0.9	0.29995
0.92	0.2714
0.94	0.23721
0.96	0.19681
0.98	0.13157
