1.0	0.0
0.98	-0.07787
0.96	-0.11508
0.94	-0.13807
0.92	-0.15783
0.9	-0.17456000000000002
0.88	-0.18935000000000002
0.86	-0.20252
0.84	-0.21444000000000002
0.82	-0.22533
0.8	-0.23532000000000003
0.78	-0.2445
0.76	-0.25298000000000004
0.74	-0.26081
0.72	-0.26808
0.7	-0.27479000000000003
0.68	-0.28097
0.66	-0.28665
0.64	-0.29185
0.62	-0.29658
0.6	-0.30086
0.58	-0.30468
0.56	-0.30806
0.54	-0.31097
0.52	-0.31347
0.5	-0.31552
0.48	-0.31707
0.46	-0.31818
0.44	-0.31882
0.42	-0.31895
0.4	-0.31859
0.38	-0.31767
0.36	-0.31619
0.34	-0.31412
0.32	-0.3114
0.3	-0.30799
0.28	-0.30383
0.26	-0.29886
0.24	-0.29302
0.22	-0.28622000000000003
0.2	-0.27831
0.18	-0.2691
0.16	-0.25845
0.14	-0.24599
0.12	-0.23145000000000002
0.1	-0.21435
0.08	-0.19402
0.06	-0.16969
0.04	-0.13894
0.02	-0.0994
0.015	-0.08399
0.01	-0.06702
0.0075	-0.0601
0.005	-0.04826999999999999
0.0025	-0.03644
0.0	0.0
0.0025	0.035489999999999994
0.005	0.051269999999999996
0.0075	0.057539999999999994
0.01	0.0638
0.015	0.07962
0.02	0.094
0.04	0.13028
0.06	0.15858999999999998
0.08	0.18114999999999998
0.1	0.20043
0.12	0.21714
0.14	0.23185
0.16	0.24494
0.18	0.2566
0.2	0.26708
0.22	0.27643
0.24	0.28482999999999997
0.26	0.29229
0.28	0.29886
0.3	0.30469999999999997
0.32	0.30974999999999997
0.34	0.31409
0.36	0.31773999999999997
0.38	0.32078999999999996
0.4	0.3232
0.42	0.32504
0.44	0.32633
0.46	0.32704
0.48	0.32717999999999997
0.5	0.32681
0.52	0.32591
0.54	0.32443
0.56	0.32248
0.58	0.31995
0.6	0.31690999999999997
0.62	0.31332
0.64	0.30916
0.66	0.30441
0.68	0.2991
0.7	0.29318
0.72	0.28657
0.74	0.27932999999999997
0.76	0.2714
0.78	0.26267
0.8	0.25311
0.82	0.24256999999999998
0.84	0.23099999999999998
0.86	0.21819999999999998
0.88	0.20389
0.9	0.18769999999999998
0.92	0.1692
0.94	0.14726
0.96	0.12161
0.98	0.08134
